Ts (degC),I (a.u.),P (W),q (slm)
3.527000000000000313e+01,1.648370442546994658e+06,3.000000000000000000e+00,1.000000000000000000e+00
3.703999999999999915e+01,1.670447730451133801e+06,3.000000000000000000e+00,1.000000000000000000e+00
3.859000000000000341e+01,1.707666806193603668e+06,3.000000000000000000e+00,1.000000000000000000e+00
3.982000000000000028e+01,1.654954123139105504e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.103000000000000114e+01,1.656149644144734601e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.231000000000000227e+01,1.682784940573304892e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.332000000000000028e+01,1.664873067124055931e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.414000000000000057e+01,1.695364088176691905e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.500000000000000000e+01,1.695745225939856144e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.584000000000000341e+01,1.688125673515031580e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.668999999999999773e+01,1.676524869840226369e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.747999999999999687e+01,1.677543126062025549e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.799000000000000199e+01,1.674697773750000633e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.864999999999999858e+01,1.673199214962410042e+06,3.000000000000000000e+00,1.000000000000000000e+00
4.942999999999999972e+01,1.667026359981199028e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.013000000000000256e+01,1.669578036654136842e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.057000000000000028e+01,1.650784766729319235e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.114999999999999858e+01,1.695962033458644757e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.161999999999999744e+01,1.676590651212410536e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.203999999999999915e+01,1.695581265253755962e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.261999999999999744e+01,1.670690037490603514e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.324000000000000199e+01,1.652054322575183585e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.375000000000000000e+01,1.665817165319559164e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.415999999999999659e+01,1.704180393468043767e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.478000000000000114e+01,1.663968634849619819e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.539000000000000057e+01,1.699698144389095949e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.590999999999999659e+01,1.691862400375941535e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.631000000000000227e+01,1.698060262133456534e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.639000000000000057e+01,1.625319984530085232e+06,3.000000000000000000e+00,1.000000000000000000e+00
5.678999999999999915e+01,1.691036191268792842e+06,3.000000000000000000e+00,1.000000000000000000e+00
