t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
9.520000000000000000e+02,5.200000000000000000e+01,2.999999999999999889e-02,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,5.000000000000000278e-02,0.000000000000000000e+00,1.000011400000000066e+02,4.000000000000000083e-02,1.419999999999999929e+00
4.194000000000000000e+03,6.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.000000000000000000e+00,1.000011400000000066e+02,1.649999999999999911e+00,1.590000000000000080e+00
5.206000000000000000e+03,6.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.000000000000000000e+00,1.000011400000000066e+02,1.649999999999999911e+00,1.600000000000000089e+00
6.244000000000000000e+03,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,4.000000000000000000e+00,1.000011200000000002e+02,1.649999999999999911e+00,1.600000000000000089e+00
7.232000000000000000e+03,6.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.609999999999999876e+00,4.000000000000000000e+00,1.000011499999999955e+02,1.659999999999999920e+00,1.570000000000000062e+00
8.243000000000000000e+03,6.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.609999999999999876e+00,4.000000000000000000e+00,1.000011400000000066e+02,1.659999999999999920e+00,1.570000000000000062e+00
9.232000000000000000e+03,6.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.000000000000000000e+00,1.000011499999999955e+02,1.659999999999999920e+00,1.590000000000000080e+00
1.024700000000000000e+04,6.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.640000000000000124e+00,4.000000000000000000e+00,1.000011300000000034e+02,1.659999999999999920e+00,1.590000000000000080e+00
1.124600000000000000e+04,6.800000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.629999999999999893e+00,4.000000000000000000e+00,1.000011300000000034e+02,1.659999999999999920e+00,1.590000000000000080e+00
1.224600000000000000e+04,6.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.649999999999999911e+00,4.000000000000000000e+00,1.000011300000000034e+02,1.659999999999999920e+00,1.600000000000000089e+00
