Ts (degC),I (a.u.),P (W),q (slm)
3.639999999999999858e+01,5.082520114285729360e+05,4.000000000000000000e+00,4.000000000000000000e+00
3.757999999999999829e+01,7.236922878101518145e+05,4.000000000000000000e+00,4.000000000000000000e+00
3.859000000000000341e+01,5.780058886466153199e+05,4.000000000000000000e+00,4.000000000000000000e+00
3.935000000000000142e+01,5.056631325563910650e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.053999999999999915e+01,5.332215855451131938e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.107000000000000028e+01,5.199709505639105337e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.195000000000000284e+01,5.505995704793239711e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.253999999999999915e+01,5.418070401033821981e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.309000000000000341e+01,5.581696020958631998e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.381000000000000227e+01,5.538712698496244848e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.443999999999999773e+01,5.667663897744362475e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.513000000000000256e+01,5.579455265977454837e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.564999999999999858e+01,5.449126846240586601e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.614999999999999858e+01,5.467047958646622719e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.650999999999999801e+01,5.072720660808272078e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.657999999999999829e+01,5.586263761184222531e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.660999999999999943e+01,5.867477895394739462e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.721999999999999886e+01,5.491440036372173345e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.732999999999999829e+01,5.474572165037611267e+05,4.000000000000000000e+00,4.000000000000000000e+00
4.772999999999999687e+01,5.353908925939868204e+05,4.000000000000000000e+00,4.000000000000000000e+00
