t_emb (ms),Isemb (a.u.),Vp2p (V),f (kHz),q (slm),x_pos (mm),y_pos (mm),dsep (mm),T_emb (K),P_emb (W),Pset (W),duty (%),V_emb (kV),I_emb (mA)
8.960000000000000000e+02,4.200000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,1.499999999999999944e-01,0.000000000000000000e+00,1.000010000000000048e+02,1.000000000000000056e-01,1.449999999999999956e+00
7.217000000000000000e+03,5.400000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.709999999999999964e+00,4.000000000000000000e+00,1.000010999999999939e+02,1.679999999999999938e+00,1.620000000000000107e+00
8.240000000000000000e+03,5.500000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.720000000000000195e+00,4.000000000000000000e+00,1.000010000000000048e+02,1.669999999999999929e+00,1.629999999999999893e+00
9.240000000000000000e+03,5.500000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.729999999999999982e+00,4.000000000000000000e+00,1.000010000000000048e+02,1.669999999999999929e+00,1.629999999999999893e+00
1.024500000000000000e+04,5.500000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.720000000000000195e+00,4.000000000000000000e+00,1.000010999999999939e+02,1.669999999999999929e+00,1.629999999999999893e+00
1.125400000000000000e+04,5.500000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.720000000000000195e+00,4.000000000000000000e+00,1.000010000000000048e+02,1.679999999999999938e+00,1.620000000000000107e+00
1.224300000000000000e+04,5.700000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.729999999999999982e+00,4.000000000000000000e+00,1.000010999999999939e+02,1.679999999999999938e+00,1.620000000000000107e+00
1.325400000000000000e+04,5.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.709999999999999964e+00,4.000000000000000000e+00,1.000010999999999939e+02,1.679999999999999938e+00,1.620000000000000107e+00
1.424400000000000000e+04,5.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.720000000000000195e+00,4.000000000000000000e+00,1.000010000000000048e+02,1.669999999999999929e+00,1.629999999999999893e+00
1.525700000000000000e+04,5.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.037549999999999955e+03,2.720000000000000195e+00,4.000000000000000000e+00,1.000010000000000048e+02,1.679999999999999938e+00,1.620000000000000107e+00
