Ts (degC),I (a.u.),P (W),q (slm)
4.746999999999999886e+01,5.586862445582710207e+05,4.000000000000000000e+00,2.000000000000000000e+00
4.860999999999999943e+01,5.634424595018775435e+05,4.000000000000000000e+00,2.000000000000000000e+00
4.968999999999999773e+01,6.085630606296984479e+05,4.000000000000000000e+00,2.000000000000000000e+00
5.078999999999999915e+01,5.753629310808267910e+05,4.000000000000000000e+00,2.000000000000000000e+00
5.207999999999999829e+01,5.546447553101509111e+05,4.000000000000000000e+00,2.000000000000000000e+00
5.307000000000000028e+01,6.131113374530090950e+05,4.000000000000000000e+00,2.000000000000000000e+00
5.422999999999999687e+01,5.755341597462422214e+05,4.000000000000000000e+00,2.000000000000000000e+00
5.511999999999999744e+01,6.131428730921066599e+05,4.000000000000000000e+00,2.000000000000000000e+00
5.613000000000000256e+01,6.010095359492481221e+05,4.000000000000000000e+00,2.000000000000000000e+00
5.704999999999999716e+01,5.541208448684203904e+05,4.000000000000000000e+00,2.000000000000000000e+00
